transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000541,card_00139,2026-01-06T11:57:52Z,travel,False,False,dev_000893,IN,33414
txn_0000542,card_00859,2026-01-04T11:41:43Z,atm_withdrawal,False,False,dev_002106,IN,24296
txn_0000543,card_00426,2026-01-04T06:09:09Z,entertainment,False,False,dev_002215,US,19320
txn_0000544,card_00812,2026-01-30T01:55:00Z,grocery,False,False,dev_004069,US,683
txn_0000545,card_00737,2026-01-01T16:20:56Z,atm_withdrawal,True,False,dev_002236,GB,7362
txn_0000546,card_00408,2026-01-20T18:25:28Z,grocery,False,False,dev_000812,US,30769
txn_0000547,card_00891,2026-01-05T16:07:58Z,fuel,True,False,dev_002888,US,4085
txn_0000548,card_00060,2026-01-13T11:40:16Z,online_retail,True,False,dev_003993,DE,16876
txn_0000549,card_00802,2026-01-16T14:34:13Z,online_retail,True,False,dev_003838,IN,2222
txn_0000550,card_00829,2026-01-28T21:31:12Z,fuel,True,False,dev_002233,SG,12909
txn_0000551,card_00375,2026-01-14T07:47:55Z,utilities,True,False,dev_001851,IN,3866
txn_0000552,card_00155,2026-01-27T17:02:45Z,utilities,False,False,dev_004198,SG,2880
txn_0000553,card_00843,2026-01-04T05:37:55Z,restaurant,False,False,dev_001600,US,1302
txn_0000554,card_00284,2026-01-07T08:19:59Z,online_retail,True,False,dev_001777,SG,913
txn_0000555,card_00064,2026-01-25T06:29:54Z,restaurant,False,False,dev_004675,DE,750
txn_0000556,card_00279,2026-01-19T22:40:31Z,restaurant,True,False,dev_004021,US,9675
txn_0000557,card_00497,2026-01-13T05:45:31Z,atm_withdrawal,True,False,dev_002448,AE,33116
txn_0000558,card_00143,2026-01-29T00:07:46Z,online_retail,True,False,dev_001757,AE,4481
txn_0000559,card_00489,2026-01-26T19:15:56Z,travel,False,False,dev_000365,DE,793
txn_0000560,card_00075,2026-01-15T21:38:58Z,restaurant,True,False,dev_001934,DE,43135
txn_0000561,card_00514,2026-01-27T18:06:36Z,travel,True,False,dev_003188,GB,4344
txn_0000562,card_00101,2026-01-22T14:02:36Z,electronics,True,False,dev_003209,DE,72329
txn_0000563,card_00432,2026-01-09T01:35:10Z,electronics,True,False,dev_000192,DE,6368
txn_0000564,card_00448,2026-01-22T09:08:04Z,fuel,False,False,dev_003063,AE,904
txn_0000565,card_00032,2026-01-03T16:29:02Z,grocery,False,False,dev_003182,SG,3291
txn_0000566,card_00617,2026-01-07T01:59:32Z,restaurant,True,False,dev_001385,IN,1360
txn_0000567,card_00009,2026-01-15T21:14:25Z,fuel,True,False,dev_002933,IN,565
txn_0000568,card_00057,2026-01-14T23:03:07Z,grocery,True,False,dev_004460,DE,2667
txn_0000569,card_00472,2026-01-16T16:04:44Z,pharmacy,True,False,dev_003906,AE,2196
txn_0000570,card_00502,2026-01-19T06:05:27Z,fuel,True,False,dev_001713,IN,8681
txn_0000571,card_00471,2026-01-06T04:49:15Z,travel,False,False,dev_002574,DE,13522
txn_0000572,card_00198,2026-01-03T16:44:23Z,pharmacy,True,False,dev_004375,DE,42206
txn_0000573,card_00632,2026-01-08T19:49:05Z,restaurant,True,False,dev_003401,US,3061
txn_0000574,card_00272,2026-01-14T12:23:17Z,pharmacy,False,False,dev_000198,US,919
txn_0000575,card_00511,2026-01-26T12:13:11Z,utilities,True,False,dev_002850,DE,11188
txn_0000576,card_00072,2026-01-13T17:04:02Z,online_retail,False,False,dev_003376,GB,11779
txn_0000577,card_00254,2026-01-19T17:24:50Z,travel,True,False,dev_001054,SG,7779
txn_0000578,card_00306,2026-01-10T09:20:28Z,fuel,True,False,dev_004875,IN,10880
txn_0000579,card_00046,2026-01-13T18:57:43Z,atm_withdrawal,False,True,dev_003616,SG,30080
txn_0000580,card_00534,2026-01-30T06:06:35Z,atm_withdrawal,True,False,dev_003067,DE,10912
txn_0000581,card_00494,2026-01-17T10:04:20Z,atm_withdrawal,True,False,dev_003057,US,4726
txn_0000582,card_00234,2026-01-25T13:45:25Z,pharmacy,True,False,dev_004795,US,15407
txn_0000583,card_00566,2026-01-28T17:25:59Z,atm_withdrawal,False,False,dev_003684,DE,30580
txn_0000584,card_00323,2026-01-05T05:49:57Z,utilities,True,False,dev_004876,US,4141
txn_0000585,card_00672,2026-01-16T09:49:00Z,travel,True,False,dev_001620,GB,9617
txn_0000586,card_00252,2026-01-22T13:54:56Z,fuel,False,False,dev_003775,SG,10358
txn_0000587,card_00645,2026-01-26T12:26:49Z,restaurant,False,False,dev_001101,GB,6972
txn_0000588,card_00073,2026-01-09T02:50:03Z,electronics,False,False,dev_000536,IN,12660
txn_0000589,card_00470,2026-01-15T13:29:05Z,restaurant,True,False,dev_002531,AE,20943
txn_0000590,card_00596,2026-01-13T20:58:35Z,fuel,False,False,dev_003756,IN,5245
txn_0000591,card_00182,2026-01-12T15:31:17Z,electronics,True,False,dev_003584,US,20299
txn_0000592,card_00771,2026-01-15T20:48:42Z,pharmacy,False,False,dev_003576,IN,11698
txn_0000593,card_00113,2026-01-27T14:27:21Z,restaurant,False,False,dev_001873,DE,5438
txn_0000594,card_00771,2026-01-21T10:28:49Z,electronics,True,False,dev_000222,IN,32563
txn_0000595,card_00842,2026-01-08T22:30:52Z,grocery,False,False,dev_003567,AE,1859
txn_0000596,card_00760,2026-01-20T05:10:43Z,atm_withdrawal,False,False,dev_003795,US,9205
txn_0000597,card_00391,2026-01-19T23:57:54Z,entertainment,True,False,dev_003061,DE,19137
txn_0000598,card_00846,2026-01-10T13:11:51Z,pharmacy,False,False,dev_001783,GB,29710
txn_0000599,card_00824,2026-01-06T23:10:30Z,online_retail,True,True,dev_004239,GB,6782
txn_0000600,card_00809,2026-01-19T08:32:09Z,restaurant,False,False,dev_000879,GB,2519
txn_0000601,card_00322,2026-01-19T14:08:33Z,atm_withdrawal,False,False,dev_000030,SG,23303
txn_0000602,card_00594,2026-01-08T09:52:54Z,grocery,False,False,dev_001505,AE,3631
txn_0000603,card_00057,2026-01-29T22:40:36Z,entertainment,True,False,dev_002963,SG,1867
txn_0000604,card_00522,2026-01-11T16:39:47Z,grocery,True,False,dev_000289,GB,104957
txn_0000605,card_00895,2026-01-30T07:45:22Z,electronics,True,False,dev_001494,IN,18912
txn_0000606,card_00270,2026-01-20T16:13:24Z,online_retail,False,False,dev_003724,US,2221
txn_0000607,card_00064,2026-01-16T23:07:54Z,grocery,False,False,dev_003833,DE,4286
txn_0000608,card_00148,2026-01-03T08:18:17Z,entertainment,False,False,dev_001349,AE,1363
txn_0000609,card_00805,2026-01-01T03:56:19Z,grocery,False,False,dev_000359,GB,13793
txn_0000610,card_00892,2026-01-27T21:19:57Z,grocery,True,False,dev_000627,DE,11045
txn_0000611,card_00010,2026-01-06T23:22:59Z,utilities,True,False,dev_000263,US,10469
txn_0000612,card_00638,2026-01-14T17:29:58Z,travel,True,False,dev_000752,GB,4556
txn_0000613,card_00863,2026-01-10T00:42:14Z,pharmacy,True,False,dev_000510,AE,20176
txn_0000614,card_00297,2026-01-13T06:35:07Z,pharmacy,False,False,dev_000058,AE,3188
txn_0000615,card_00804,2026-01-30T18:53:22Z,online_retail,True,False,dev_003737,GB,19457
txn_0000616,card_00201,2026-01-29T07:34:13Z,travel,False,False,dev_004109,SG,10014
txn_0000617,card_00106,2026-01-04T09:52:33Z,travel,True,False,dev_002318,GB,2608
txn_0000618,card_00379,2026-01-21T11:18:48Z,online_retail,True,False,dev_003141,SG,19354
txn_0000619,card_00830,2026-01-30T17:27:52Z,restaurant,True,False,dev_003258,AE,7737
txn_0000620,card_00799,2026-01-05T12:40:10Z,entertainment,True,False,dev_001881,GB,6136
txn_0000621,card_00135,2026-01-07T20:58:47Z,online_retail,False,False,dev_004628,US,14235
txn_0000622,card_00431,2026-01-18T03:56:10Z,grocery,False,False,dev_004311,SG,13687
txn_0000623,card_00196,2026-01-17T16:45:52Z,pharmacy,False,False,dev_001190,IN,9890
txn_0000624,card_00753,2026-01-10T13:15:00Z,atm_withdrawal,True,False,dev_002738,GB,4143
